lemma,poscode,surface
oil & gas,3,Oil & Gas
olefins,3,Olefins
oleochemicals,3,oleochemicals
oligomer,3,oligomer
organic industrial,3,organic industrial
ortho,3,ortho
other higher olefins,3,other higher olefins
oxirane,3,oxirane
para,3,para
pcb,3,PCB
peak oil,3,Peak Oil
petrochemical,3,Petrochemical
petrochemicals,3,petrochemicals
petroleum,3,Petroleum
petroleum-in-place,3,Petroleum-in-Place
polymer chains,3,polymer chains
benzaldehyde,3,benzaldehyde
phthalic acid,3,phthalic acid
phthalic anhydride,3,phthalic anhydride
polyamide,3,Polyamide
plastic,3,plastic
plastics,3,plastics
polyamide resins,3,Polyamide Resins
polycarbonate,3,polycarbonate
polycyclic aromatic hydrocarbon,3,Polycyclic Aromatic Hydrocarbon
polyesters,3,polyesters
polyether polyol,3,polyether polyol
polyethylene,3,polyethylene
polyethylene terephthalate,3,Polyethylene Terephthalate
polyisoprene,3,polyisoprene
polymer,3,Polymer
polymerization,3,Polymerization
polymers,3,polymers
polyolefins,3,Polyolefins
polyolefins such poly,3,polyolefins such poly
polypropylene,3,Polypropylene
polystyrene,3,Polystyrene
polystyrenes,3,polystyrenes
polyvinyl alcohol,3,polyvinyl alcohol
polyvinyl chloride,3,polyvinyl chloride
propanol,3,propanol
propylene glycol,3,propylene glycol
propylene oxide,3,propylene oxide
purified terephthalic acid,3,purified terephthalic acid
ramsbottom coke,3,Ramsbottom coke
raw natural gas,3,Raw Natural Gas
reagent,3,Reagent
reduced crude oil,3,Reduced Crude Oil
residual fuel oil,3,Residual Fuel Oil
silica brick,3,silica brick
solution gas,3,Solution Gas
solvent,3,Solvent
solvents,3,solvents
sour gas,3,Sour Gas
sour natural gas,3,Sour Natural Gas
styrene monomer,3,Styrene monomer
sulfur,3,Sulfur
sweet crude,3,Sweet Crude
sweet gas,3,Sweet Gas
sweet natural gas,3,Sweet Natural Gas
synthesis gas,3,Synthesis gas
synthetic rubbers,3,synthetic rubbers
talc,3,Talc
tetrachloroethylene,3,tetrachloroethylene
thermosetting resin,3,Thermosetting Resin
titanium dioxide,3,Titanium Dioxide
toluene diisocyanate,3,toluene diisocyanate
trichloroethylene,3,trichloroethylene
vldpe,3,VLDPE,ULDPE,vldpes,very low-density polyethylene
unsaturated polyesters,3,Unsaturated Polyesters
vinyl,3,Vinyl
vinyl acetate,3,vinyl acetate
vinyl acetate monomer,3,Vinyl acetate monomer
vinyl chloride,3,vinyl chloride
vinyl chloride monomer,3,Vinyl chloride monomer
xylene,3,Xylene
aerosol,3,aerosol
allergen,3,allergen
antibody,3,antibody
antigen,3,antigen
acid,3,Acid
asbestos,3,Asbestos
biohazard,3,Biohazard
carcinogen,3,carcinogen
contaminant,3,contaminant
carbon dioxide,3,Carbon Dioxide
disinfectant,3,Disinfectant
catalyst,3,catalyst,catalysts
butene,3,butene,butenes
benzene,3,benzenes
enzymes,3,enzymes
formaldehyde,3,Formaldehyde
fungicide,3,Fungicide
inorganic,3,Inorganic
inorganic chemicals,3,Inorganic Chemicals
organic,3,Organic
oxidizer,3,Oxidizer
xenoy,3,Xenoy
inorganic,4,Inorganic
organic,4,Organic
lldpe,3,lldpe,linear low-density polyethylene
acid,3,acid,acids
copolymer,3,copolymer,copolymers
